query,answer,domains,subset,base_template,chosen_template
I need to move all of Raj's customers that are interested in hardware and are either qualified or in proposal to Sofia. Can you make that change in the crm?,"['customer_relationship_manager.update_customer.func(customer_id=""00000135"", field=""assigned_to_email"", new_value=""sofia.santos@atlas.com"")']",['customer_relationship_manager'],customer_relationship_manager,Give {new_assigned_to_first_name} all of {assigned_to_first_name}'s customers that are interested in {natural_language_product_interest} and are either qualified or in proposal in the crm,I need to move all of {assigned_to_first_name}'s customers that are interested in {natural_language_product_interest} and are either qualified or in proposal to {new_assigned_to_first_name}. Can you make that change in the crm?
Give Akira all of Nadia's customers that are interested in hardware and are either qualified or in proposal in the crm,"['customer_relationship_manager.update_customer.func(customer_id=""00000037"", field=""assigned_to_email"", new_value=""akira.sato@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000195"", field=""assigned_to_email"", new_value=""akira.sato@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000138"", field=""assigned_to_email"", new_value=""akira.sato@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000132"", field=""assigned_to_email"", new_value=""akira.sato@atlas.com"")']",['customer_relationship_manager'],customer_relationship_manager,Give {new_assigned_to_first_name} all of {assigned_to_first_name}'s customers that are interested in {natural_language_product_interest} and are either qualified or in proposal in the crm,Give {new_assigned_to_first_name} all of {assigned_to_first_name}'s customers that are interested in {natural_language_product_interest} and are either qualified or in proposal in the crm
Sofia is taking over all of Lena's customers that are interested in services and are either qualified or in proposal. Can you reassign them in the crm?,"['customer_relationship_manager.update_customer.func(customer_id=""00000016"", field=""assigned_to_email"", new_value=""sofia.santos@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000056"", field=""assigned_to_email"", new_value=""sofia.santos@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000190"", field=""assigned_to_email"", new_value=""sofia.santos@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000059"", field=""assigned_to_email"", new_value=""sofia.santos@atlas.com"")']",['customer_relationship_manager'],customer_relationship_manager,Give {new_assigned_to_first_name} all of {assigned_to_first_name}'s customers that are interested in {natural_language_product_interest} and are either qualified or in proposal in the crm,{new_assigned_to_first_name} is taking over all of {assigned_to_first_name}'s customers that are interested in {natural_language_product_interest} and are either qualified or in proposal. Can you reassign them in the crm?
Sofia is taking over all of Raj's customers that are interested in consulting and are either qualified or in proposal. Can you reassign them in the crm?,"['customer_relationship_manager.update_customer.func(customer_id=""00000097"", field=""assigned_to_email"", new_value=""sofia.santos@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000053"", field=""assigned_to_email"", new_value=""sofia.santos@atlas.com"")']",['customer_relationship_manager'],customer_relationship_manager,Give {new_assigned_to_first_name} all of {assigned_to_first_name}'s customers that are interested in {natural_language_product_interest} and are either qualified or in proposal in the crm,{new_assigned_to_first_name} is taking over all of {assigned_to_first_name}'s customers that are interested in {natural_language_product_interest} and are either qualified or in proposal. Can you reassign them in the crm?
We no longer need to keep all of Sofia's customers that are in the won stage and interested in services. Can you delete them from the crm?,"['customer_relationship_manager.delete_customer.func(customer_id=""00000048"")']",['customer_relationship_manager'],customer_relationship_manager,Delete all of {assigned_to_first_name}'s customers that are in the {new_status_natural_language} stage and interested in {natural_language_product_interest} in the crm,We no longer need to keep all of {assigned_to_first_name}'s customers that are in the {new_status_natural_language} stage and interested in {natural_language_product_interest}. Can you delete them from the crm?
We no longer need to keep all of Sofia's customers that are in the qualified stage and interested in services. Can you delete them from the crm?,"['customer_relationship_manager.delete_customer.func(customer_id=""00000099"")', 'customer_relationship_manager.delete_customer.func(customer_id=""00000137"")']",['customer_relationship_manager'],customer_relationship_manager,Delete all of {assigned_to_first_name}'s customers that are in the {new_status_natural_language} stage and interested in {natural_language_product_interest} in the crm,We no longer need to keep all of {assigned_to_first_name}'s customers that are in the {new_status_natural_language} stage and interested in {natural_language_product_interest}. Can you delete them from the crm?
I need to move all of Raj's customers that are in the lost stage and interested in software to lost. Can you make that change in the crm?,"['customer_relationship_manager.delete_customer.func(customer_id=""00000168"")']",['customer_relationship_manager'],customer_relationship_manager,Delete all of {assigned_to_first_name}'s customers that are in the {new_status_natural_language} stage and interested in {natural_language_product_interest} in the crm,I need to move all of {assigned_to_first_name}'s customers that are in the {new_status_natural_language} stage and interested in {natural_language_product_interest} to lost. Can you make that change in the crm?
I need to move all of Lena's customers that are in the qualified stage and interested in hardware to lost. Can you make that change in the crm?,[],['customer_relationship_manager'],customer_relationship_manager,Delete all of {assigned_to_first_name}'s customers that are in the {new_status_natural_language} stage and interested in {natural_language_product_interest} in the crm,I need to move all of {assigned_to_first_name}'s customers that are in the {new_status_natural_language} stage and interested in {natural_language_product_interest} to lost. Can you make that change in the crm?
I need to move all of Akira's customers that are in the qualified stage and interested in services to lost. Can you make that change in the crm?,"['customer_relationship_manager.delete_customer.func(customer_id=""00000092"")']",['customer_relationship_manager'],customer_relationship_manager,Delete all of {assigned_to_first_name}'s customers that are in the {new_status_natural_language} stage and interested in {natural_language_product_interest} in the crm,I need to move all of {assigned_to_first_name}'s customers that are in the {new_status_natural_language} stage and interested in {natural_language_product_interest} to lost. Can you make that change in the crm?
I need to move all of Akira's customers that are in the proposal stage and interested in software to lost. Can you make that change in the crm?,"['customer_relationship_manager.delete_customer.func(customer_id=""00000147"")']",['customer_relationship_manager'],customer_relationship_manager,Delete all of {assigned_to_first_name}'s customers that are in the {new_status_natural_language} stage and interested in {natural_language_product_interest} in the crm,I need to move all of {assigned_to_first_name}'s customers that are in the {new_status_natural_language} stage and interested in {natural_language_product_interest} to lost. Can you make that change in the crm?
I need to move all of Nadia's customers that are in the qualified stage and interested in training to lost. Can you make that change in the crm?,[],['customer_relationship_manager'],customer_relationship_manager,Delete all of {assigned_to_first_name}'s customers that are in the {new_status_natural_language} stage and interested in {natural_language_product_interest} in the crm,I need to move all of {assigned_to_first_name}'s customers that are in the {new_status_natural_language} stage and interested in {natural_language_product_interest} to lost. Can you make that change in the crm?
I need to move all of Raj's customers that are in the won stage and interested in consulting to lost. Can you make that change in the crm?,"['customer_relationship_manager.delete_customer.func(customer_id=""00000171"")']",['customer_relationship_manager'],customer_relationship_manager,Delete all of {assigned_to_first_name}'s customers that are in the {new_status_natural_language} stage and interested in {natural_language_product_interest} in the crm,I need to move all of {assigned_to_first_name}'s customers that are in the {new_status_natural_language} stage and interested in {natural_language_product_interest} to lost. Can you make that change in the crm?
I need to move all of Raj's customers that are in the qualified stage and interested in services to lost. Can you make that change in the crm?,"['customer_relationship_manager.delete_customer.func(customer_id=""00000106"")', 'customer_relationship_manager.delete_customer.func(customer_id=""00000196"")']",['customer_relationship_manager'],customer_relationship_manager,Delete all of {assigned_to_first_name}'s customers that are in the {new_status_natural_language} stage and interested in {natural_language_product_interest} in the crm,I need to move all of {assigned_to_first_name}'s customers that are in the {new_status_natural_language} stage and interested in {natural_language_product_interest} to lost. Can you make that change in the crm?
We no longer need to keep all of Akira's customers that are in the lost stage and interested in hardware. Can you delete them from the crm?,"['customer_relationship_manager.delete_customer.func(customer_id=""00000071"")', 'customer_relationship_manager.delete_customer.func(customer_id=""00000057"")', 'customer_relationship_manager.delete_customer.func(customer_id=""00000018"")']",['customer_relationship_manager'],customer_relationship_manager,Delete all of {assigned_to_first_name}'s customers that are in the {new_status_natural_language} stage and interested in {natural_language_product_interest} in the crm,We no longer need to keep all of {assigned_to_first_name}'s customers that are in the {new_status_natural_language} stage and interested in {natural_language_product_interest}. Can you delete them from the crm?
I think there's a few customers that haven't responded to a proposal for the software product in 3 weeks. Can you move them to lost in the crm?,"['customer_relationship_manager.update_customer.func(customer_id=""00000007"", field=""status"", new_value=""Lost"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000147"", field=""status"", new_value=""Lost"")']",['customer_relationship_manager'],customer_relationship_manager,Move all customers that haven't responded to a proposal for the {natural_language_product_interest} product in {weeks} weeks to lost in the crm,I think there's a few customers that haven't responded to a proposal for the {natural_language_product_interest} product in {weeks} weeks. Can you move them to lost in the crm?
I think there's a few customers that haven't responded to a proposal for the software product in 6 weeks. Can you move them to lost in the crm?,[],['customer_relationship_manager'],customer_relationship_manager,Move all customers that haven't responded to a proposal for the {natural_language_product_interest} product in {weeks} weeks to lost in the crm,I think there's a few customers that haven't responded to a proposal for the {natural_language_product_interest} product in {weeks} weeks. Can you move them to lost in the crm?
Move all customers that haven't responded to a proposal for the services product in 5 weeks to lost in the crm,"['customer_relationship_manager.update_customer.func(customer_id=""00000081"", field=""status"", new_value=""Lost"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000041"", field=""status"", new_value=""Lost"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000121"", field=""status"", new_value=""Lost"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000079"", field=""status"", new_value=""Lost"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000091"", field=""status"", new_value=""Lost"")']",['customer_relationship_manager'],customer_relationship_manager,Move all customers that haven't responded to a proposal for the {natural_language_product_interest} product in {weeks} weeks to lost in the crm,Move all customers that haven't responded to a proposal for the {natural_language_product_interest} product in {weeks} weeks to lost in the crm
I think there's a few customers that haven't responded to a proposal for the consulting product in 4 weeks. Can you move them to lost in the crm?,[],['customer_relationship_manager'],customer_relationship_manager,Move all customers that haven't responded to a proposal for the {natural_language_product_interest} product in {weeks} weeks to lost in the crm,I think there's a few customers that haven't responded to a proposal for the {natural_language_product_interest} product in {weeks} weeks. Can you move them to lost in the crm?
I think there's a few customers that haven't responded to a proposal for the hardware product in 6 weeks. Can you move them to lost in the crm?,"['customer_relationship_manager.update_customer.func(customer_id=""00000132"", field=""status"", new_value=""Lost"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000088"", field=""status"", new_value=""Lost"")']",['customer_relationship_manager'],customer_relationship_manager,Move all customers that haven't responded to a proposal for the {natural_language_product_interest} product in {weeks} weeks to lost in the crm,I think there's a few customers that haven't responded to a proposal for the {natural_language_product_interest} product in {weeks} weeks. Can you move them to lost in the crm?
We need to move all customers that haven't responded to a proposal for the hardware product in 4 weeks to lost. Can you update the CRM?,"['customer_relationship_manager.update_customer.func(customer_id=""00000037"", field=""status"", new_value=""Lost"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000195"", field=""status"", new_value=""Lost"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000058"", field=""status"", new_value=""Lost"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000132"", field=""status"", new_value=""Lost"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000088"", field=""status"", new_value=""Lost"")']",['customer_relationship_manager'],customer_relationship_manager,Move all customers that haven't responded to a proposal for the {natural_language_product_interest} product in {weeks} weeks to lost in the crm,We need to move all customers that haven't responded to a proposal for the {natural_language_product_interest} product in {weeks} weeks to lost. Can you update the CRM?
Move all customers that haven't responded to a proposal for the consulting product in 6 weeks to lost in the crm,[],['customer_relationship_manager'],customer_relationship_manager,Move all customers that haven't responded to a proposal for the {natural_language_product_interest} product in {weeks} weeks to lost in the crm,Move all customers that haven't responded to a proposal for the {natural_language_product_interest} product in {weeks} weeks to lost in the crm
We need to move all customers that haven't responded to a proposal for the software product in 6 weeks to lost. Can you update the CRM?,[],['customer_relationship_manager'],customer_relationship_manager,Move all customers that haven't responded to a proposal for the {natural_language_product_interest} product in {weeks} weeks to lost in the crm,We need to move all customers that haven't responded to a proposal for the {natural_language_product_interest} product in {weeks} weeks to lost. Can you update the CRM?
We need to move all customers that haven't responded to a proposal for the hardware product in 5 weeks to lost. Can you update the CRM?,"['customer_relationship_manager.update_customer.func(customer_id=""00000195"", field=""status"", new_value=""Lost"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000058"", field=""status"", new_value=""Lost"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000132"", field=""status"", new_value=""Lost"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000088"", field=""status"", new_value=""Lost"")']",['customer_relationship_manager'],customer_relationship_manager,Move all customers that haven't responded to a proposal for the {natural_language_product_interest} product in {weeks} weeks to lost in the crm,We need to move all customers that haven't responded to a proposal for the {natural_language_product_interest} product in {weeks} weeks to lost. Can you update the CRM?
Move all customers that haven't responded to a proposal for the consulting product in 5 weeks to lost in the crm,[],['customer_relationship_manager'],customer_relationship_manager,Move all customers that haven't responded to a proposal for the {natural_language_product_interest} product in {weeks} weeks to lost in the crm,Move all customers that haven't responded to a proposal for the {natural_language_product_interest} product in {weeks} weeks to lost in the crm
Delete my last email from nadia,"['email.delete_email.func(email_id=""00000479"")']",['email'],email,Delete my last email from {name},Delete my last email from {name}
Delete my last email from sofia,"['email.delete_email.func(email_id=""00000438"")']",['email'],email,Delete my last email from {name},Delete my last email from {name}
Delete my last email from anaya,"['email.delete_email.func(email_id=""00000166"")']",['email'],email,Delete my last email from {name},Delete my last email from {name}
nadia just sent me an email that I need to delete. Can you get rid of of the most recent email they sent me?,"['email.delete_email.func(email_id=""00000479"")']",['email'],email,Delete my last email from {name},{name} just sent me an email that I need to delete. Can you get rid of of the most recent email they sent me?
Delete my last email from yuki,"['email.delete_email.func(email_id=""00000149"")']",['email'],email,Delete my last email from {name},Delete my last email from {name}
I need to delete my last email from leila. Can you do that?,"['email.delete_email.func(email_id=""00000052"")']",['email'],email,Delete my last email from {name},I need to delete my last email from {name}. Can you do that?
Delete my last email from chenwei,"['email.delete_email.func(email_id=""00000211"")']",['email'],email,Delete my last email from {name},Delete my last email from {name}
Delete my last email from kofi,"['email.delete_email.func(email_id=""00000259"")']",['email'],email,Delete my last email from {name},Delete my last email from {name}
anaya just sent me an email that I need to delete. Can you get rid of of the most recent email they sent me?,"['email.delete_email.func(email_id=""00000166"")']",['email'],email,Delete my last email from {name},{name} just sent me an email that I need to delete. Can you get rid of of the most recent email they sent me?
Delete my last email from jinsoo,"['email.delete_email.func(email_id=""00000204"")']",['email'],email,Delete my last email from {name},Delete my last email from {name}
All my emails from yuki from the last 3 days need to be deleted. Can you do that?,[],['email'],email,Delete all my emails from {name} from the last {days} days,All my emails from {name} from the last {days} days need to be deleted. Can you do that?
Delete all my emails from yuki from the last 5 days,"['email.delete_email.func(email_id=""00000149"")']",['email'],email,Delete all my emails from {name} from the last {days} days,Delete all my emails from {name} from the last {days} days
I need to get rid of all my emails from amir from the last 6 days. Can you do delete them?,"['email.delete_email.func(email_id=""00000196"")', 'email.delete_email.func(email_id=""00000291"")', 'email.delete_email.func(email_id=""00000188"")']",['email'],email,Delete all my emails from {name} from the last {days} days,I need to get rid of all my emails from {name} from the last {days} days. Can you do delete them?
All my emails from santiago from the last 3 days need to be deleted. Can you do that?,"['email.delete_email.func(email_id=""00000348"")']",['email'],email,Delete all my emails from {name} from the last {days} days,All my emails from {name} from the last {days} days need to be deleted. Can you do that?
I need to get rid of all my emails from nia from the last 4 days. Can you do delete them?,"['email.delete_email.func(email_id=""00000066"")']",['email'],email,Delete all my emails from {name} from the last {days} days,I need to get rid of all my emails from {name} from the last {days} days. Can you do delete them?
I need to get rid of all my emails from raj from the last 3 days. Can you do delete them?,"['email.delete_email.func(email_id=""00000402"")', 'email.delete_email.func(email_id=""00000199"")', 'email.delete_email.func(email_id=""00000140"")', 'email.delete_email.func(email_id=""00000421"")', 'email.delete_email.func(email_id=""00000245"")', 'email.delete_email.func(email_id=""00000436"")']",['email'],email,Delete all my emails from {name} from the last {days} days,I need to get rid of all my emails from {name} from the last {days} days. Can you do delete them?
I need to get rid of all my emails from nadia from the last 2 days. Can you do delete them?,"['email.delete_email.func(email_id=""00000479"")']",['email'],email,Delete all my emails from {name} from the last {days} days,I need to get rid of all my emails from {name} from the last {days} days. Can you do delete them?
I need to get rid of all my emails from nadia from the last 4 days. Can you do delete them?,"['email.delete_email.func(email_id=""00000070"")', 'email.delete_email.func(email_id=""00000479"")']",['email'],email,Delete all my emails from {name} from the last {days} days,I need to get rid of all my emails from {name} from the last {days} days. Can you do delete them?
Delete all my emails from jinsoo from the last 4 days,"['email.delete_email.func(email_id=""00000204"")']",['email'],email,Delete all my emails from {name} from the last {days} days,Delete all my emails from {name} from the last {days} days
Delete all my emails from amir from the last 6 days,"['email.delete_email.func(email_id=""00000196"")', 'email.delete_email.func(email_id=""00000291"")', 'email.delete_email.func(email_id=""00000188"")']",['email'],email,Delete all my emails from {name} from the last {days} days,Delete all my emails from {name} from the last {days} days
"I need to send an email to kofi saying 'Hey kofi,\n\nI wanted to let you know that I've completed the tasks for the status briefing. Looking forward to your feedback.\n\nCheers,\n\nSam' and title it 'Task Update on Improve UX of onboarding process'. Can you do that?","['email.send_email.func(recipient=""kofi.mensah@atlas.com"", subject=""Task Update on Improve UX of onboarding process"", body=""Hey kofi,\\n\\nI wanted to let you know that I\'ve completed the tasks for the status briefing. Looking forward to your feedback.\\n\\nCheers,\\n\\nSam"")']",['email'],email,Send an email to {name} saying '{body}' and title it '{subject}',I need to send an email to {name} saying '{body}' and title it '{subject}'. Can you do that?
"please send an email to jinsoo saying 'Hi jinsoo,\n\nStarting on 'Create wireframe for homepage' today. Any preliminary thoughts or resources you recommend before I dive in?\n\nBest,\n\nSam' and title it 'Task Update on Design logo for website'","['email.send_email.func(recipient=""jinsoo.kim@atlas.com"", subject=""Task Update on Design logo for website"", body=""Hi jinsoo,\\n\\nStarting on \'Create wireframe for homepage\' today. Any preliminary thoughts or resources you recommend before I dive in?\\n\\nBest,\\n\\nSam"")']",['email'],email,Send an email to {name} saying '{body}' and title it '{subject}',please send an email to {name} saying '{body}' and title it '{subject}'
"I need to send an email to dmitri saying 'Hey dmitri,\n\nEncountered a few challenges while working on the Innovation and Creativity Hackathon. Could use your advice.\n\nThanks,\n\nSam' and title it 'Update on performance evaluation'. Can you do that?","['email.send_email.func(recipient=""dmitri.ivanov@atlas.com"", subject=""Update on performance evaluation"", body=""Hey dmitri,\\n\\nEncountered a few challenges while working on the Innovation and Creativity Hackathon. Could use your advice.\\n\\nThanks,\\n\\nSam"")']",['email'],email,Send an email to {name} saying '{body}' and title it '{subject}',I need to send an email to {name} saying '{body}' and title it '{subject}'. Can you do that?
"I need to send an email to chenwei saying 'chenwei,\n\nI wanted to let you know that I've completed the tasks for the daily stand-up. Looking forward to your feedback.\n\nThanks,\n\nSam' and title it 'Update on daily stand-up'. Can you do that?","['email.send_email.func(recipient=""chenwei.zhang@atlas.com"", subject=""Update on daily stand-up"", body=""chenwei,\\n\\nI wanted to let you know that I\'ve completed the tasks for the daily stand-up. Looking forward to your feedback.\\n\\nThanks,\\n\\nSam"")']",['email'],email,Send an email to {name} saying '{body}' and title it '{subject}',I need to send an email to {name} saying '{body}' and title it '{subject}'. Can you do that?
"Send an email to lena saying 'lena,\n\nI've been assigned 'Develop prototype for report generation'. Excited to work on this and confident it will greatly improve our backend efficiency.\n\nCheers,\n\nSam' and title it 'Task Update on Create wireframe for homepage'","['email.send_email.func(recipient=""lena.schmidt@atlas.com"", subject=""Task Update on Create wireframe for homepage"", body=""lena,\\n\\nI\'ve been assigned \'Develop prototype for report generation\'. Excited to work on this and confident it will greatly improve our backend efficiency.\\n\\nCheers,\\n\\nSam"")']",['email'],email,Send an email to {name} saying '{body}' and title it '{subject}',Send an email to {name} saying '{body}' and title it '{subject}'
"please send an email to nadia saying 'nadia,\n\nI've been assigned 'Develop prototype for report generation'. Excited to work on this and confident it will greatly improve our backend efficiency.\n\nCheers,\n\nSam' and title it 'Task Update on Create wireframe for homepage'","['email.send_email.func(recipient=""nadia.moreau@atlas.com"", subject=""Task Update on Create wireframe for homepage"", body=""nadia,\\n\\nI\'ve been assigned \'Develop prototype for report generation\'. Excited to work on this and confident it will greatly improve our backend efficiency.\\n\\nCheers,\\n\\nSam"")']",['email'],email,Send an email to {name} saying '{body}' and title it '{subject}',please send an email to {name} saying '{body}' and title it '{subject}'
"I need to send an email to amir saying 'amir,\n\nRegarding task 'Add authentication for email notification', I've made significant progress but have hit a snag with UI responsiveness. Could use a brainstorm session.\n\nAdditionally, I wanted to touch base on some other areas we've been focusing on lately. Our team has been working tirelessly on improving our project management workflows and enhancing collaboration across departments. This effort includes adopting new tools, refining our communication strategies, and ensuring that all team members are fully aligned with our objectifs.\n\nRegards,\n\nSam' and title it 'Update on status briefing'. Can you do that?","['email.send_email.func(recipient=""amir.ali@atlas.com"", subject=""Update on status briefing"", body=""amir,\\n\\nRegarding task \'Add authentication for email notification\', I\'ve made significant progress but have hit a snag with UI responsiveness. Could use a brainstorm session.\\n\\nAdditionally, I wanted to touch base on some other areas we\'ve been focusing on lately. Our team has been working tirelessly on improving our project management workflows and enhancing collaboration across departments. This effort includes adopting new tools, refining our communication strategies, and ensuring that all team members are fully aligned with our objectifs.\\n\\nRegards,\\n\\nSam"")']",['email'],email,Send an email to {name} saying '{body}' and title it '{subject}',I need to send an email to {name} saying '{body}' and title it '{subject}'. Can you do that?
"please send an email to aisha saying 'Hi aisha,\n\nI have some ideas for the Machine Learning Chat that I'd like to run by you. When are you free?\n\nBest,\n\nSam' and title it 'Update on Innovation and Creativity Hackathon'","['email.send_email.func(recipient=""aisha.chen@atlas.com"", subject=""Update on Innovation and Creativity Hackathon"", body=""Hi aisha,\\n\\nI have some ideas for the Machine Learning Chat that I\'d like to run by you. When are you free?\\n\\nBest,\\n\\nSam"")']",['email'],email,Send an email to {name} saying '{body}' and title it '{subject}',please send an email to {name} saying '{body}' and title it '{subject}'
"I need to send an email to dmitri saying 'Hey dmitri,\n\nI have some ideas for the process review that I'd like to run by you. When are you free?\n\nThanks,\n\nSam' and title it 'Update on Product Launch Analysis'. Can you do that?","['email.send_email.func(recipient=""dmitri.ivanov@atlas.com"", subject=""Update on Product Launch Analysis"", body=""Hey dmitri,\\n\\nI have some ideas for the process review that I\'d like to run by you. When are you free?\\n\\nThanks,\\n\\nSam"")']",['email'],email,Send an email to {name} saying '{body}' and title it '{subject}',I need to send an email to {name} saying '{body}' and title it '{subject}'. Can you do that?
"I need to send an email to kofi saying 'Hi kofi,\n\nI've been assigned 'Fix bug in user management module'. Excited to work on this and confident it will greatly improve our backend efficiency.\n\nThanks,\n\nSam' and title it 'Update on Corporate Social Responsibility Initiative'. Can you do that?","['email.send_email.func(recipient=""kofi.mensah@atlas.com"", subject=""Update on Corporate Social Responsibility Initiative"", body=""Hi kofi,\\n\\nI\'ve been assigned \'Fix bug in user management module\'. Excited to work on this and confident it will greatly improve our backend efficiency.\\n\\nThanks,\\n\\nSam"")']",['email'],email,Send an email to {name} saying '{body}' and title it '{subject}',I need to send an email to {name} saying '{body}' and title it '{subject}'. Can you do that?
I need to get back to yuki's last email about 'Update on Client Appreciation Gala' with 'Thanks for the update - I will get back to you tomorrow. Can you send the reply for me?,"['email.reply_email.func(email_id=""00000234"", body=""Thanks for the update - I will get back to you tomorrow."")']",['email'],email,Reply to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow.',I need to get back to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow. Can you send the reply for me?
Reply to yuki's last email about 'Update on Corporate Social Responsibility Initiative' with 'Thanks for the update - I will get back to you tomorrow.',"['email.reply_email.func(email_id=""00000446"", body=""Thanks for the update - I will get back to you tomorrow."")']",['email'],email,Reply to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow.',Reply to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow.'
I need to get back to dmitri's last email about 'Update on team coordination meeting' with 'Thanks for the update - I will get back to you tomorrow. Can you send the reply for me?,"['email.reply_email.func(email_id=""00000313"", body=""Thanks for the update - I will get back to you tomorrow."")']",['email'],email,Reply to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow.',I need to get back to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow. Can you send the reply for me?
Reply to anaya's last email about 'Update on Innovation and Creativity Hackathon' with 'Thanks for the update - I will get back to you tomorrow.',"['email.reply_email.func(email_id=""00000258"", body=""Thanks for the update - I will get back to you tomorrow."")']",['email'],email,Reply to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow.',Reply to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow.'
I need to get back to amir's last email about 'Update on Risk Management Forum' with 'Thanks for the update - I will get back to you tomorrow. Can you send the reply for me?,"['email.reply_email.func(email_id=""00000188"", body=""Thanks for the update - I will get back to you tomorrow."")']",['email'],email,Reply to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow.',I need to get back to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow. Can you send the reply for me?
Reply to nia's last email about 'Task Update on Design logo for website' with 'Thanks for the update - I will get back to you tomorrow.',"['email.reply_email.func(email_id=""00000403"", body=""Thanks for the update - I will get back to you tomorrow."")']",['email'],email,Reply to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow.',Reply to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow.'
I need to get back to lena's last email about 'Update on Leadership Training Workshop' with 'Thanks for the update - I will get back to you tomorrow. Can you send the reply for me?,"['email.reply_email.func(email_id=""00000048"", body=""Thanks for the update - I will get back to you tomorrow."")']",['email'],email,Reply to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow.',I need to get back to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow. Can you send the reply for me?
Reply to raj's last email about 'Update on IT Systems Update Briefing' with 'Thanks for the update - I will get back to you tomorrow.',"['email.reply_email.func(email_id=""00000001"", body=""Thanks for the update - I will get back to you tomorrow."")']",['email'],email,Reply to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow.',Reply to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow.'
Reply to chenwei's last email about 'Task Update on Develop prototype for login system' with 'Thanks for the update - I will get back to you tomorrow.',"['email.reply_email.func(email_id=""00000239"", body=""Thanks for the update - I will get back to you tomorrow."")']",['email'],email,Reply to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow.',Reply to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow.'
Reply to yuki's last email about 'Task Update on Add authentication for email notification' with 'Thanks for the update - I will get back to you tomorrow.',"['email.reply_email.func(email_id=""00000286"", body=""Thanks for the update - I will get back to you tomorrow."")']",['email'],email,Reply to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow.',Reply to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow.'
carlos needs all the emails from chenwei last week about 'Update on Supply Chain Enhancement Workshop'. Can you forward them?,"['email.forward_email.func(email_id=""00000337"", recipient=""carlos.rodriguez@atlas.com"")']",['email'],email,Forward all the emails from {name} last week about '{subject}' to {recipient_name},{recipient_name} needs all the emails from {name} last week about '{subject}'. Can you forward them?
can you forward all the emails from anaya last week about 'Update on Board of Directors Conclave' to nadia,"['email.forward_email.func(email_id=""00000346"", recipient=""nadia.moreau@atlas.com"")', 'email.forward_email.func(email_id=""00000120"", recipient=""nadia.moreau@atlas.com"")']",['email'],email,Forward all the emails from {name} last week about '{subject}' to {recipient_name},can you forward all the emails from {name} last week about '{subject}' to {recipient_name}
nia needs all the emails from sofia last week about 'Update on Risk Management Forum'. Can you forward them?,"['email.forward_email.func(email_id=""00000173"", recipient=""nia.johnson@atlas.com"")']",['email'],email,Forward all the emails from {name} last week about '{subject}' to {recipient_name},{recipient_name} needs all the emails from {name} last week about '{subject}'. Can you forward them?
